Language,Cell,Position,Form,Meaning
Ainu,1s,-1,ku,SA[+1 +sg]
Ainu,1p,1,as,S[+1 +pl]
Ainu,2s,-1,e,SAP[-3 +sg]
Ainu,2p,-1,eci,SAP[+2]
Ainu,x,1,an,S[-1 -2 -3]
Ainu,1s->2s,-1,eci,SAP[+2]
Ainu,1s->2p,-1,eci,SAP[+2]
Ainu,1s->3s,-1,ku,SA[+1 +sg]
Ainu,1s->3p,-1,ku,SA[+1 +sg]
Ainu,1s->x,-2,ku,SA[+1 +sg]
Ainu,1s->x,-1,i,P[-1 -2 -3]
Ainu,1p->2s,-1,eci,SAP[+2]
Ainu,1p->2p,-1,eci,SAP[+2]
Ainu,1p->3s,-1,ci,[+1 +pl]A->P[+3]
Ainu,1p->3p,-1,ci,[+1 +pl]A->P[+3]
Ainu,1p->x,-2,a,AP[-1 -2 -3]
Ainu,1p->x,-1,i,P[-1 -2 -3]
Ainu,2s->1s,-2,e,SAP[-3 +sg]
Ainu,2s->1s,-1,n,P[+1 +sg]
Ainu,2s->1p,-1,un,P[+1 +pl]
Ainu,2s->3s,-1,e,SAP[-3 +sg]
Ainu,2s->3p,-1,e,SAP[-3 +sg]
Ainu,2s->x,-2,e,SAP[-3 +sg]
Ainu,2s->x,-1,i,P[-1 -2 -3]
Ainu,2p->1s,-3,eci,SAP[+2]
Ainu,2p->1s,-2,e,SAP[-3 +sg]
Ainu,2p->1s,-1,n,P[+1 +sg]
Ainu,2p->1p,-2,eci,SAP[+2]
Ainu,2p->1p,-1,un,P[+1 +pl]
Ainu,2p->3s,-1,eci,SAP[+2]
Ainu,2p->3p,-1,eci,SAP[+2]
Ainu,2p->x,-2,eci,SAP[+2]
Ainu,2p->x,-1,i,P[-1 -2 -3]
Ainu,3s->1s,-2,e,SAP[-3 +sg]
Ainu,3s->1s,-1,n,P[+1 +sg]
Ainu,3s->1p,-1,un,P[+1 +pl]
Ainu,3s->2s,-1,e,SAP[-3 +sg]
Ainu,3s->2p,-1,eci,SAP[+2]
Ainu,3s->x,-1,i,P[-1 -2 -3]
Ainu,3p->1s,-2,e,SAP[-3 +sg]
Ainu,3p->1s,-1,n,P[+1 +sg]
Ainu,3p->1p,-1,un,P[+1 +pl]
Ainu,3p->2s,-1,e,SAP[-3 +sg]
Ainu,3p->2p,-1,eci,SAP[+2]
Ainu,3p->x,-1,i,P[-1 -2 -3]
Ainu,x->1s,-3,a,AP[-1 -2 -3]
Ainu,x->1s,-2,e,SAP[-3 +sg]
Ainu,x->1s,-1,n,P[+1 +sg]
Ainu,x->1p,-2,a,AP[-1 -2 -3]
Ainu,x->1p,-1,un,P[+1 +pl]
Ainu,x->2s,-2,a,AP[-1 -2 -3]
Ainu,x->2s,-1,e,SAP[-3 +sg]
Ainu,x->2p,-2,a,AP[-1 -2 -3]
Ainu,x->2p,-1,eci,SAP[+2]
Ainu,x->3s,-1,a,AP[-1 -2 -3]
Ainu,x->3p,-1,a,AP[-1 -2 -3]
Ainu,x->x,-2,a,AP[-1 -2 -3]
Ainu,x->x,-1,i,P[-1 -2 -3]
Aleut,1s,1,q,SA[+1 +sg]
Aleut,1d,1,s,SA[-2 -sg]
Aleut,1p,1,s,SA[-2 -sg]
Aleut,2s,1,x,SA[-1]
Aleut,2s,2,t,SA[+2 +sg]
Aleut,2d,1,xtxi,SA[+2 -sg]
Aleut,2d,2,di,SA[+2 -sg -pl]
Aleut,2d,3,x,SA[-1]
Aleut,2p,1,xtxi,SA[+2 -sg]
Aleut,2p,2,chi,SA[+2 +pl]
Aleut,2p,3,x,SA[-1]
Aleut,3s,1,x,SA[-1]
Aleut,3d,1,x,SA[-1]
Aleut,3p,1,s,SA[-2 -sg]
Aleut,1s->2s,1,q,SA[+1 +sg]
Aleut,1s->2d,1,q,SA[+1 +sg]
Aleut,1s->2p,1,q,SA[+1 +sg]
Aleut,1s->3s,1,n,[-3 +sg]A->P[+3]
Aleut,1s->3s,2,g,[+1 +sg]A->P[+3]
